queue_length,doctors_available,avg_consult_time,emergency_cases,department,time_of_day,weekday,patient_priority,consultation_complexity,is_peak_hour,load_ratio,emergency_ratio,actual_wait_time
19,2,7.56,0,Dermatology,evening,Tuesday,urgent,routine,0,9.5,0.0,66.84
28,2,14.04,0,ENT,evening,Monday,normal,complex,0,14.0,0.0,189.89
12,3,12.27,2,Ophthalmology,morning,Sunday,normal,routine,0,4.0,0.167,60.93
39,2,10.75,0,Dermatology,morning,Monday,emergency,complex,1,19.5,0.0,117.98
30,4,16.49,1,Radiology,morning,Wednesday,normal,complex,1,7.5,0.033,161.45
14,4,16.88,0,Pediatrics,morning,Sunday,urgent,complex,0,3.5,0.0,50.34
41,4,5.0,0,General Medicine,afternoon,Tuesday,urgent,routine,1,10.25,0.0,48.85
36,1,12.12,1,ENT,morning,Friday,normal,moderate,1,36.0,0.028,561.6
15,5,7.91,0,Gynecology,afternoon,Tuesday,normal,routine,1,3.0,0.0,31.7
15,1,13.16,0,Neurology,evening,Thursday,urgent,routine,0,15.0,0.0,184.29
13,4,13.15,0,Pediatrics,night,Tuesday,normal,moderate,0,3.25,0.0,46.71
36,2,15.69,0,Emergency,afternoon,Tuesday,normal,moderate,1,18.0,0.0,344.64
5,1,12.91,0,Gynecology,evening,Saturday,normal,routine,0,5.0,0.0,63.67
31,2,9.85,0,Emergency,morning,Thursday,normal,routine,1,15.5,0.0,178.81
1,1,9.0,0,Cardiology,morning,Sunday,normal,routine,0,1.0,0.0,10.07
26,5,10.24,0,Emergency,morning,Friday,urgent,routine,1,5.2,0.0,56.9
35,4,15.8,0,Cardiology,morning,Wednesday,normal,moderate,1,8.75,0.0,173.56
24,1,13.88,0,Dermatology,morning,Friday,normal,complex,1,24.0,0.0,383.52
5,4,16.3,1,Ophthalmology,night,Thursday,normal,complex,0,1.25,0.2,27.14
11,4,22.05,0,Neurology,evening,Saturday,urgent,moderate,0,2.75,0.0,55.66
2,2,15.99,1,Neurology,afternoon,Sunday,emergency,routine,0,1.0,0.5,11.5
34,4,10.08,0,Pediatrics,afternoon,Friday,normal,routine,1,8.5,0.0,96.82
28,1,14.27,0,Emergency,afternoon,Saturday,normal,moderate,0,28.0,0.0,430.92
6,5,15.74,2,Neurology,evening,Monday,emergency,routine,0,1.2,0.333,17.84
3,1,8.35,0,General Medicine,afternoon,Sunday,normal,routine,0,3.0,0.0,25.81
16,3,8.9,0,ENT,morning,Tuesday,normal,routine,1,5.33,0.0,66.09
7,2,16.39,0,Ophthalmology,evening,Friday,urgent,complex,0,3.5,0.0,48.17
39,3,17.37,0,Neurology,morning,Wednesday,normal,routine,1,13.0,0.0,253.17
13,5,13.1,1,Emergency,morning,Monday,normal,routine,1,2.6,0.077,47.3
16,4,14.25,0,Pediatrics,evening,Tuesday,normal,moderate,0,4.0,0.0,54.12
21,1,27.77,0,Neurology,afternoon,Monday,normal,complex,1,21.0,0.0,767.74
22,5,18.63,0,Emergency,evening,Thursday,normal,complex,0,4.4,0.0,83.49
19,4,10.9,1,Emergency,morning,Monday,normal,routine,1,4.75,0.053,76.08
33,2,8.81,0,General Medicine,afternoon,Thursday,normal,routine,1,16.5,0.0,192.28
20,3,10.08,2,Pediatrics,afternoon,Sunday,emergency,moderate,0,6.67,0.1,39.74
12,3,18.51,0,Neurology,evening,Thursday,urgent,moderate,0,4.0,0.0,69.56
7,1,14.56,0,Ophthalmology,morning,Saturday,normal,moderate,0,7.0,0.0,100.41
24,1,5.0,2,ENT,evening,Friday,normal,routine,0,24.0,0.083,113.28
23,5,8.27,0,Dermatology,afternoon,Saturday,normal,routine,0,4.6,0.0,31.17
29,4,9.78,1,Pediatrics,evening,Tuesday,urgent,routine,0,7.25,0.034,63.75
29,1,10.25,1,Pediatrics,afternoon,Thursday,normal,routine,1,29.0,0.034,392.84
17,5,9.78,1,General Medicine,afternoon,Monday,normal,routine,1,3.4,0.059,48.99
41,2,10.84,0,Cardiology,morning,Monday,normal,routine,1,20.5,0.0,279.09
21,1,13.67,0,ENT,afternoon,Wednesday,urgent,complex,1,21.0,0.0,347.8
